Serial_Order	Language_Name	Language_ID	Domain_ID	Domain_Type	Abstract_Type	CrossL_Fracture	MinMax_Fracture	Lspecific_Fracture	Left_Edge	Right_Edge	Convergence	Relative_Convergence	Size	Relative_Size	Largest	Position_Total	Planar_ID	Overlap_Verbal	Overlap_Verbal_Extended	Overlap_Nominal	Test_Labels	Analysis_Type	PW_Pattern	Notes	Tests_Total
1	Araona	arao1248	arao1248_v_ciscategorial.selection_maximal_broad	morphosyntactic	ciscategorial.selection	NA	maximal	broad	1	17	2	0.11	17	1	17	18	arao1248_verbal	6	NA	NA	Ciscat. Sel. Max. broad	constituency	morphosyntactic	NA	19
2	Araona	arao1248	arao1248_v_ciscategorial.selection_maximal_narrow	morphosyntactic	ciscategorial.selection	NA	maximal	narrow	4	15	3	0.16	12	0.71	17	18	arao1248_verbal	6	NA	NA	Ciscat. Sel. Max. narrow	constituency	morphosyntactic	NA	19
3	Araona	arao1248	arao1248_v_ciscategorial.selection_minimal	morphosyntactic	ciscategorial.selection	NA	minimal	NA	6	13	1	0.05	8	0.47	17	18	arao1248_verbal	6	NA	NA	Ciscat. Sel. Min.	constituency	morphosyntactic	NA	19
4	Araona	arao1248	arao1248_v_free.occurrence_maximal	indeterminate	free.occurrence	NA	maximal	NA	4	17	2	0.11	14	0.82	17	18	arao1248_verbal	6	NA	NA	Free Ocurr. Max.	constituency	indeterminate	NA	19
5	Araona	arao1248	arao1248_v_free.occurrence_minimal	indeterminate	free.occurrence	NA	minimal	NA	6	6	5	0.26	1	0.06	17	18	arao1248_verbal	6	NA	NA	Free Ocurr. Min.	constituency	indeterminate	NA	19
6	Araona	arao1248	arao1248_v_noninterruption_complex	morphosyntactic	noninterruption	complex	NA	NA	4	16	1	0.05	13	0.76	17	18	arao1248_verbal	6	NA	NA	Non-interrupt. Compl.	constituency	morphosyntactic	NA	19
7	Araona	arao1248	arao1248_v_noninterruption_simplex	morphosyntactic	noninterruption	simplex	NA	NA	6	6	5	0.26	1	0.06	17	18	arao1248_verbal	6	NA	NA	Non-interrupt. Simpl.	constituency	morphosyntactic	NA	19
8	Araona	arao1248	arao1248_v_nonpermutability_rigid	morphosyntactic	nonpermutability	rigid	NA	NA	6	6	5	0.26	1	0.06	17	18	arao1248_verbal	6	NA	NA	Non-permut.	constituency	morphosyntactic	NA	19
9	Araona	arao1248	arao1248_v_nonpermutability_scopal	morphosyntactic	nonpermutability	scopal	NA	NA	4	6	2	0.11	3	0.18	17	18	arao1248_verbal	6	NA	NA	Non-permut. Scope	constituency	morphosyntactic	NA	19
10	Araona	arao1248	arao1248_v_recursion.based_maximal	morphosyntactic	recursion.based	NA	maximal	NA	4	15	3	0.16	12	0.71	17	18	arao1248_verbal	6	NA	NA	Subspan Rep. Max.	constituency	morphosyntactic	NA	19
11	Araona	arao1248	arao1248_v_recursion.based_maximal_tso.marked	morphosyntactic	recursion.based	NA	maximal	tso.marked	1	17	2	0.11	17	1	17	18	arao1248_verbal	6	NA	NA	Subspan Rep. Tso Max.	constituency	morphosyntactic	NA	19
12	Araona	arao1248	arao1248_v_recursion.based_minimal	indeterminate	recursion.based	NA	minimal	NA	6	6	5	0.26	1	0.06	17	18	arao1248_verbal	6	NA	NA	Subspan Rep. Min.	constituency	indeterminate	NA	19
13	Araona	arao1248	arao1248_v_recursion.based_minimal_tso.marked	indeterminate	recursion.based	NA	minimal	tso.marked	4	14	1	0.05	11	0.65	17	18	arao1248_verbal	6	NA	NA	Subspan Rep. Tso Min.	constituency	morphosyntactic	NA	19
14	Araona	arao1248	arao1248_v_segmental_vowel.deletion_e.deletion	phonological	segmental	vowel.deletion	NA	e.deletion	4	6	2	0.11	3	0.18	17	18	arao1248_verbal	6	NA	NA	E-Deletion	constituency	deletion	NA	19
15	Araona	arao1248	arao1248_v_segmental_vowel.deletion_maximal_vowel.deletion	phonological	segmental	vowel.deletion	maximal	vowel.deletion	6	14	1	0.05	9	0.53	17	18	arao1248_verbal	6	NA	NA	V-Syncope Max.	constituency	deletion	NA	19
16	Araona	arao1248	arao1248_v_segmental_vowel.deletion_minimal_vowel.deletion	phonological	segmental	vowel.deletion	minimal	vowel.deletion	6	6	5	0.26	1	0.06	17	18	arao1248_verbal	6	NA	NA	V-Syncope Min.	constituency	deletion	NA	19
17	Araona	arao1248	arao1248_v_segmental_vowel.insertion_e.insert	phonological	segmental	vowel.insertion	NA	e.insert	4	15	3	0.16	12	0.71	17	18	arao1248_verbal	6	NA	NA	E-Insertion	constituency	insertion	NA	19
18	Araona	arao1248	arao1248_v_suprasegmental_accent_maximal	phonological	suprasegmental	accent	maximal	NA	4	17	2	0.11	14	0.82	17	18	arao1248_verbal	6	NA	NA	Pitch Accent Max.	constituency	stress	NA	19
19	Araona	arao1248	arao1248_v_suprasegmental_accent_minimal	phonological	suprasegmental	accent	minimal	NA	6	11	1	0.05	6	0.35	17	18	arao1248_verbal	6	NA	NA	Pitch Accent Min.	constituency	stress	NA	19
20	Ayautla Mazatec	ayau1235	ayau1235_v_ciscategorial.selection_maximal	morphosyntactic	ciscategorial.selection	NA	maximal	NA	15	28	7	0.23	14	0.47	30	31	ayau1235_verbal	19	NA	10	Ciscat. Sel. Max.	constituency	morphosyntactic	NA	30
21	Ayautla Mazatec	ayau1235	ayau1235_v_ciscategorial.selection_minimal	morphosyntactic	ciscategorial.selection	NA	minimal	NA	15	19	5	0.17	5	0.17	30	31	ayau1235_verbal	19	NA	10	Ciscat. Sel. Min.	constituency	morphosyntactic	NA	30
22	Ayautla Mazatec	ayau1235	ayau1235_v_deviations_allomorphy_maximal	indeterminate	deviations	allomorphy	maximal	NA	15	28	7	0.23	14	0.47	30	31	ayau1235_verbal	19	NA	10	Dev. Biunique. Max.	constituency	indeterminate	NA	30
23	Ayautla Mazatec	ayau1235	ayau1235_v_deviations_allomorphy_minimal	indeterminate	deviations	allomorphy	minimal	NA	15	19	5	0.17	5	0.17	30	31	ayau1235_verbal	19	NA	10	Dev. Biunique. Min.	constituency	indeterminate	NA	30
24	Ayautla Mazatec	ayau1235	ayau1235_v_free.occurrence_maximal	indeterminate	free.occurrence	NA	maximal	NA	15	28	7	0.23	14	0.47	30	31	ayau1235_verbal	19	NA	10	Min Free Form Max.	constituency	indeterminate	NA	30
