Language_ID	Language_Name	Planar_ID	Planar_Type	Position_ID	Position	Position_Type	Elements	Class_Size	Notes
teot1238	Teotitlán del Valle Zapotec	teot1238_verbal	verbal	teot1238_v_1	1	slot	Subordinators	?	NA
teot1238	Teotitlán del Valle Zapotec	teot1238_verbal	verbal	teot1238_v_2	2	slot	Np (A/S, O), Adv	Open	NA
teot1238	Teotitlán del Valle Zapotec	teot1238_verbal	verbal	teot1238_v_3	3	slot	Focus Marker (=Ēn)	1	NA
teot1238	Teotitlán del Valle Zapotec	teot1238_verbal	verbal	teot1238_v_4	4	slot	Adv Á= ‘Already’	1	NA
teot1238	Teotitlán del Valle Zapotec	teot1238_verbal	verbal	teot1238_v_5	5	slot	Clausal Negator: Kēd=	1	NA
teot1238	Teotitlán del Valle Zapotec	teot1238_verbal	verbal	teot1238_v_6	6	slot	Adverbial Enclitics Of Frequency And Manner: =Pkā, =Kā, =Zī	3	NA
teot1238	Teotitlán del Valle Zapotec	teot1238_verbal	verbal	teot1238_v_7	7	slot	Adverbial Enclitic Of Equality: =Zá	1	NA
teot1238	Teotitlán del Valle Zapotec	teot1238_verbal	verbal	teot1238_v_8	8	slot	Adverbial Enclitic Of Comparison: =Rú	1	NA
teot1238	Teotitlán del Valle Zapotec	teot1238_verbal	verbal	teot1238_v_9	9	slot	Indefinite, Interrogative Pronouns Tū=, Xī=, Kalī=; Plural Imperative Gūl=	4	NA
teot1238	Teotitlán del Valle Zapotec	teot1238_verbal	verbal	teot1238_v_10	10	slot	Tense/Aspect/Mood	?	NA
teot1238	Teotitlán del Valle Zapotec	teot1238_verbal	verbal	teot1238_v_11	11	slot	Motion: Andative E-, Venitive Ēd-	2	NA
teot1238	Teotitlán del Valle Zapotec	teot1238_verbal	verbal	teot1238_v_12	12	slot	Verb Base	Open	NA
teot1238	Teotitlán del Valle Zapotec	teot1238_verbal	verbal	teot1238_v_13	13	slot	Second Element In A Compound: Nominal, Adjectival Root	?	NA
teot1238	Teotitlán del Valle Zapotec	teot1238_verbal	verbal	teot1238_v_14	14	slot	Comitative -Næ:	1	NA
teot1238	Teotitlán del Valle Zapotec	teot1238_verbal	verbal	teot1238_v_15	15	slot	Diminutive: -Æˀny/-Iˀny	2	NA
teot1238	Teotitlán del Valle Zapotec	teot1238_verbal	verbal	teot1238_v_16	16	slot	Manner Adverbs: Ʒlyāˀ ‘In Vain’, ʤí: ‘Quietly’	2	NA
teot1238	Teotitlán del Valle Zapotec	teot1238_verbal	verbal	teot1238_v_17	17	slot	Intensifiers Tæ̰:, Da̰:n	2	NA
teot1238	Teotitlán del Valle Zapotec	teot1238_verbal	verbal	teot1238_v_18	18	slot	Negation: =Di	1	NA
teot1238	Teotitlán del Valle Zapotec	teot1238_verbal	verbal	teot1238_v_19	19	slot	Adverbial Enclitics Of Frequency And Manner: =Pkā, =Kā, =Zī	3	NA
teot1238	Teotitlán del Valle Zapotec	teot1238_verbal	verbal	teot1238_v_20	20	slot	Adverbial Enclitic Of Equality: =Zá	1	NA
teot1238	Teotitlán del Valle Zapotec	teot1238_verbal	verbal	teot1238_v_21	21	slot	Adverbial Enclitic Of Comparison: =Rú	1	NA
teot1238	Teotitlán del Valle Zapotec	teot1238_verbal	verbal	teot1238_v_22	22	slot	Reciprocal Saˀ	1	NA
teot1238	Teotitlán del Valle Zapotec	teot1238_verbal	verbal	teot1238_v_23	23	slot	Pronominal Enclitic; Np (A/S)	?	NA
teot1238	Teotitlán del Valle Zapotec	teot1238_verbal	verbal	teot1238_v_24	24	slot	Pronominal Enclitic; Np (P)	?	NA
teot1238	Teotitlán del Valle Zapotec	teot1238_verbal	verbal	teot1238_v_25	25	slot	Pronominal Enclitic; Np (R)	?	NA
teot1238	Teotitlán del Valle Zapotec	teot1238_verbal	verbal	teot1238_v_26	26	slot	Adverb (Lexical)	Open?	NA
teot1238	Teotitlán del Valle Zapotec	teot1238_verbal	verbal	teot1238_v_27	27	slot	Subordinate Clause	Open	NA
