"ID","Type","Elements","Forms","Notes"
1,"slot","connectors, question markers","taa, távà, etc.",
2,"slot","focus",,
3,"zone","adverbials","xàà, sa’a, etc.",
4,"slo","realis negation ","kòó",
5,"slot","perfective, mood","ì,  nì; ná",
6,"slot","irrealis negation","u~i",
7,"slot","causative ’do’","sá",
8,"slot","iterative","nta~nti",
9,"slot","causative ’put’","chi",
10,"slot","irrealis","k(V)",
11,"slot","verb base",,
12,"slot","compound verb 2",,
13,"slot","intensifier, reciprocal","ntxìvà’a, ta’an",
14,"slot","topic(?)","míí",
15,"slot","additive","va",
16,"slot","again ","ti",
17,"slot","inside/being","ini",
18,"slot","S/A",,
19,"slot","P",,
20,"slot","OBL, PP",,
21,"zone","sentence",,
